Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,19885926,21783158,25100928,34821467,46095175,46119184,46813193,47305560,53656834,60270778,64186644,76472529,80055706,84110353,84676118,101931941,112210000,116700000,124700000,135200000,147200000,166200000,178100000,198400000,202500000,221575300,218534700,206626300,218873100,220140500,233271800,240970900,242517200,245432900,240236000,250281900,253541900,256787200,263145100,280284600,296944100,311301600,327248700,317214400,319271200,316489900,325000000,359000000,392000000,394000000,372902690.041619,391601946.963072,415956896.458884,443916782.295594,471425099.488675
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,43061,44610,46218,47744,49181,50684,52258,53846,55457,57145,58922,60636,62278,63986,65749,67428,69049,70753,72754,75054,77407,79794,82219,84680,87176,89707,92266,94844,97097,99003,100888,102754,104806,107066,109075,110230,110710,111071,111377,111680,112044,112365,112448,112285,111925,111412,110729,109880,108936,107957,107540,107698,107890,108121,108396,108716,109075,109481,109909,110282,110916,111624,112114,112630,113160
"Middle East, North Africa, Afghanistan & Pakistan",MEA,GDP (current US$),NY.GDP.MKTP.CD,29024394854.6905,30987037284.5131,30832534298.4054,33981027251.5874,37876511285.1208,41652574542.0011,44827741482.1275,48702681113.6228,55355053152.9809,61449134768.6796,69470512932.9757,79185015019.2052,93296927794.6389,121486691403.807,220685922800.482,242549831549.724,301309936335.999,349601963146.539,371543137662.592,483140591969.274,621242313345.714,640118605672.754,641806002410.769,649495126896.519,656414744180.33,668194186438.58,676559260256.437,631785127853.284,631604979804.106,651160308645.178,836905738017.072,673738601158.817,711056428594.802,666711698356.809,703469153115.903,779385110717.91,863000070022.336,900773898509.055,882028053079.616,954730420776.583,1098757920739.36,1090545600310.8,1084279807624.63,1208917725725.12,1425161843614.68,1696919964165.73,1984658175268.77,2340843268836.93,2889953352487.35,2605610958437.81,3035569587215.87,3654665416709.42,3942874851169.17,3906327736018.28,3944295197979.42,3546719057163.68,3592203183221.5,3761433694224.74,4023974471234.97,3989483215533.71,3561019804742.77,4279459402701.19,4994047685350.32,4837112081492.74,5025772564328.3
"Middle East, North Africa, Afghanistan & Pakistan",MEA,"Population, total",SP.POP.TOTL,157933392,162068656,166390935,170881281,175548682,180361095,185366083,190664582,196098319,201742643,207569650,213438350,219448355,225808044,232392106,239405806,246821883,254463059,262393904,270666000,279347788,288391729,297671219,307301861,317366458,327681501,338209596,348933449,359728415,370724431,383279026,394251647,405847278,417150344,428117445,438968860,449859387,460864078,472047033,483430509,494850317,506478256,518193093,530338988,543086512,556210211,569898499,583743828,597799097,612128501,624828664,639053870,653273442,667464006,680716578,694232973,707023525,718887744,730362334,742714463,756405281,767578451,782349366,797801454,813118814
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,GDP (current US$),NY.GDP.MKTP.CD,21951472905.7657,22897686861.8635,23311084904.7026,25680699750.2423,28686249644.3061,31805270075.2286,33969222899.0777,37310104873.7507,41897056400.5605,46594338113.9946,52340685827.5378,59203404913.3143,67256893586.3602,82948300158.0386,127536402529.714,146512034375.339,180747740964.069,208782139666.99,224123730455.513,278630477033.729,338338373850.259,330377717262.535,369223568200.684,404172364784.857,422201894049.538,453639097759.679,487666576858.255,426964720173.31,414053622106.061,415824495351.479,561877076910.396,380581307725.52,390454378977.414,344284389246.472,361933969697.242,403354671309.908,446894233170.296,465770068822.607,475820335108.663,515243741248.525,577555414243.714,580413513039.273,564911705200.721,624719536901.38,739740964065.983,857124990348.688,996469245696.414,1209996477301.61,1466149480561.82,1418668447671.06,1626058953367.17,1906060807193.25,2052891275800.27,1930423514701.66,1919784977902.57,1780659355969.17,1829549360447.27,1857189378336.06,1864852275838.18,1819885021237.61,1649213376516.37,1915797738870.79,2132297995335.66,2039526572152.72,2153572215659.73
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,"Population, total",SP.POP.TOTL,151883053,155796245,159849264,164082777,168474397,173012080,177756891,182734055,187877692,193184368,198631041,204099318,209697605,215569107,221668657,228187384,235058983,242098387,249392069,256976193,264948525,273288518,281844787,290721921,300042126,309566339,319257806,329101677,339013669,349120795,361322200,371610655,381995940,392371485,402475400,412447289,422368926,432334916,442475967,452793419,462980522,473223662,483540516,494288606,505618583,517240777,529158464,540838105,552681993,565038251,577396038,589646039,601566988,613151287,624564062,635352686,645837915,656767614,668447432,680490997,692532027,704458802,716508657,729077445,741690916
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,GDP (current US$),NY.GDP.MKTP.CD,21778972838.6763,22717751213.0431,23127900672.4986,25478894502.4197,28460826047.0182,31555336449.1195,33702284400.043,37016912903.3775,41567819038.1763,46228188357.8869,51929379859.3455,58738170012.5262,66728372393.0136,82296472036.817,126534190145.736,145360706814.421,179327380809.814,207141478320.29,222362511119.304,276440930291.796,335679627786.219,327781527993.721,366322118691.623,400996279046.084,418884127840.344,450074290280.298,483834373088.311,423609526506.313,410799887019.65,412556844308.04,557461708799.149,377590606308.926,387386092541.325,341578917932.643,359089803644.116,400070200864.67,443484188933.381,462008531395.331,471749357905.199,510969926774.372,573241814243.714,576409813039.273,561355905200.721,620751536901.38,735137864065.983,851999290348.688,991120945696.414,1204180777301.61,1458839080561.82,1410582747671.06,1616377453367.17,1894874707193.25,2040682875800.27,1916908014701.66,1905795277902.57,1766686955969.17,1814143960447.27,1841061378336.06,1848575675838.18,1802751521237.61,1633681676516.37,1897688738870.79,2113132495335.66,2021678672152.72,2139861115659.73
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,"Population, total",SP.POP.TOTL,151883053,155796245,159849264,164082777,168474397,173012080,177756891,182734055,187877692,193184368,198631041,204099318,209697605,215569107,221668657,228187384,235058983,242098387,249392069,256976193,264948525,273288518,281844787,290721921,300042126,309566339,319257806,329101677,339013669,349120795,359343952,369541810,379832349,390108809,400109102,409972623,419780929,429628398,439699399,449944988,460058369,470225878,480465143,491133637,502381957,513920381,525752130,537343609,549090016,561349152,573609877,585763053,597586990,609074579,620390664,631082594,641470827,652312809,663878345,675805691,687728758,699536053,711465045,723911670,736401764
Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,254235675434.041,257562931830.812,260453743715.403,286972299645.555,326613277317.497,359831186332.231,373091871504.9,384013545229.495,406761267698.872,454540861245.365,497212052675.734,533996556015.007,599975140826.797,766691873388.828,976640034994.617,1077930405850.53,1160703451220.42,1301734367500.39,1443871082083.53,1679375578286.37,1987351266397.74,2231973009517.72,2199589601541.97,2132037845707.08,2193654316738.69,2284147633097.25,2330832785542.99,2405036405426.74,2565004837365.84,2749165274609.35,3146231165193.74,3046249740620.61,3238118935795.58,3502335890120.91,3943157709212.25,4525795816506.55,5040295108725.49,5348980261304.95,5322385023975.21,5119798424196.57,5555882715934.3,5572901050659.61,5674128176328.99,6352695894610.56,7454124978830.42,8799998339979.54,10364457653642.3,12733441082401.6,15120463295754.1,15171118380675.4,18482720369642.3,21799574888515.2,23231163844455.8,24682517377605.2,25836696431644.6,25083049368763.7,25375550658298.8,27748887095153.8,29559838322315.3,30263574824888.8,29324478257136.1,34618128912439.9,36282529025324.2,37397441616315.5,38748293620690.3
Middle income,MIC,"Population, total",SP.POP.TOTL,1968969477,1995507534,2035069774,2086651982,2138527555,2191141157,2247185714,2303228602,2360912065,2420749411,2482153349,2544074050,2605093564,2666982084,2728455818,2788694766,2848095176,2907099421,2966786263,3028044659,3091485829,3157264507,3225816449,3294712711,3363350352,3433380482,3505495513,3579488782,3653960889,3728139137,3804281569,3876917760,3947406975,4016605020,4085142527,4153549029,4221979035,4290382932,4358459090,4425269853,4491582042,4557281954,4620891319,4683580056,4746877931,4809774178,4872116354,4933710362,4996382425,5059811744,5123741911,5188568435,5255534995,5322381812,5388846648,5453063887,5516149006,5579306367,5640395313,5698868246,5753580097,5802569225,5846790764,5891444768,5939111763
